City_ID,City,Lat,Lng,Current Conditions,Max Temp,Humidity,Cloudiness,Wind Speed,Rainfall,Snowfall,Country,Date
159,Qusar,41.43,48.43,light snow,32.97,65,100,3.74,0.0,0.18,AZ,2020-04-07 00:23:14
160,Camopi,3.17,-52.32,light rain,76.35,90,82,4.16,0.23,0.0,GF,2020-04-07 00:23:14
161,Quatre Cocos,-20.21,57.76,broken clouds,78.01,78,75,19.46,0.0,0.0,MU,2020-04-07 00:23:14
162,Hofn,64.25,-15.21,light snow,32.34,86,49,25.97,0.0,0.24,IS,2020-04-07 00:23:15
163,Oistins,13.07,-59.53,scattered clouds,80.6,78,40,14.99,0.0,0.0,BB,2020-04-07 00:23:09
164,Dudinka,69.41,86.18,light shower snow,30.2,100,90,20.13,0.0,0.0,RU,2020-04-07 00:23:15
165,Djambala,-2.54,14.75,overcast clouds,70.12,73,93,2.68,0.0,0.0,CG,2020-04-07 00:23:15
166,Puerto Narino,-3.77,-70.38,broken clouds,75.2,100,75,3.36,0.0,0.0,CO,2020-04-07 00:23:15
167,Bonavista,48.65,-53.11,overcast clouds,30.99,87,100,10.0,0.0,0.0,CA,2020-04-07 00:23:16
168,Sao Joao Da Barra,-21.64,-41.05,clear sky,75.31,84,4,12.3,0.0,0.0,BR,2020-04-07 00:23:16
169,Arang,21.2,81.97,few clouds,80.35,27,23,4.12,0.0,0.0,IN,2020-04-07 00:23:16
170,Ghatsila,22.6,86.48,clear sky,77.23,21,0,4.03,0.0,0.0,IN,2020-04-07 00:23:16
171,Kargopol,61.51,38.95,broken clouds,23.34,92,57,4.14,0.0,0.0,RU,2020-04-07 00:23:16
172,Kalakamati,-20.59,27.31,clear sky,65.16,45,4,7.16,0.0,0.0,BW,2020-04-07 00:23:16
173,Gandorhun,7.5,-11.83,scattered clouds,78.73,91,39,2.95,0.0,0.0,SL,2020-04-07 00:23:17
174,Pangnirtung,66.15,-65.71,clear sky,13.08,80,5,6.82,0.0,0.0,CA,2020-04-07 00:23:17
175,Oakley,38.0,-121.71,scattered clouds,55.4,71,40,6.93,0.0,0.0,US,2020-04-07 00:23:17
176,Horta,38.53,-28.63,overcast clouds,63.48,89,88,14.88,0.0,0.0,PT,2020-04-07 00:23:17
177,Pisco,-13.7,-76.22,scattered clouds,73.4,83,40,14.99,0.0,0.0,PE,2020-04-07 00:23:18
178,Ilhabela,-23.78,-45.36,scattered clouds,75.67,83,25,9.35,0.0,0.0,BR,2020-04-07 00:23:18
179,Yangambi,0.81,24.43,light rain,72.3,84,99,0.74,0.49,0.0,CD,2020-04-07 00:23:18
180,Rawson,-43.3,-65.1,clear sky,54.64,42,0,11.86,0.0,0.0,AR,2020-04-07 00:23:18
181,Ornskoldsvik,63.29,18.72,broken clouds,32.0,92,83,4.7,0.0,0.0,SE,2020-04-07 00:23:19
182,Lapeer,43.05,-83.32,broken clouds,55.99,37,75,4.7,0.0,0.0,US,2020-04-07 00:23:19
183,Sorland,67.67,12.69,overcast clouds,41.25,85,100,33.46,0.0,0.0,NO,2020-04-07 00:23:19
184,Saint-Joseph,-21.37,55.62,broken clouds,77.0,68,75,9.17,0.0,0.0,RE,2020-04-07 00:23:19
185,Bafq,31.61,55.41,clear sky,63.99,19,7,1.86,0.0,0.0,IR,2020-04-07 00:23:19
186,Saint-Augustin,51.23,-58.65,light snow,29.14,97,100,6.35,0.0,1.39,CA,2020-04-07 00:23:19
187,Chipurupalle,18.3,83.57,scattered clouds,78.12,80,34,1.79,0.0,0.0,IN,2020-04-07 00:23:19
188,Sesimbra,38.44,-9.1,mist,61.0,100,75,6.93,0.0,0.0,PT,2020-04-07 00:23:20
189,Saint Anthony,45.02,-93.22,overcast clouds,57.2,67,90,10.29,0.0,0.0,US,2020-04-07 00:23:20
190,Shihezi,44.3,86.03,overcast clouds,55.85,32,99,3.94,0.0,0.0,CN,2020-04-07 00:23:20
191,Knysna,-34.04,23.05,broken clouds,51.8,57,63,13.87,0.0,0.0,ZA,2020-04-07 00:23:20
192,Kumluca,36.37,30.29,clear sky,55.26,66,6,4.56,0.0,0.0,TR,2020-04-07 00:23:20
193,Montes Claros,-16.73,-43.86,light rain,77.0,73,18,5.82,0.27,0.0,BR,2020-04-07 00:23:21
194,Ibotirama,-12.19,-43.22,moderate rain,75.49,77,95,3.18,3.35,0.0,BR,2020-04-07 00:23:21
195,Resistencia,-27.46,-58.98,clear sky,73.99,78,2,6.93,0.0,0.0,AR,2020-04-07 00:19:05
