City_ID,City,Country,Current Conditions,Lat,Lng,Max Temp,Hotel Name
165,Djambala,CG,overcast clouds,-2.54,14.75,70.12,Auberge Chez Les Emmanuelles
166,Puerto Narino,CO,broken clouds,-3.77,-70.38,75.2,Eware Refugio Amazonico
167,Bonavista,CA,overcast clouds,48.65,-53.11,30.99,Abbott's Bed & Breakfast
168,Sao Joao Da Barra,BR,clear sky,-21.64,-41.05,75.31,Pousada Porto De Canoas
169,Arang,IN,few clouds,21.2,81.97,80.35,Hotel Kunwar Shree
170,Ghatsila,IN,clear sky,22.6,86.48,77.23,VISHAL HOTEL
171,Kargopol,RU,broken clouds,61.51,38.95,23.34,Moroshka Inn
172,Kalakamati,BW,clear sky,-20.59,27.31,65.16,
173,Gandorhun,SL,scattered clouds,7.5,-11.83,78.73,
174,Pangnirtung,CA,clear sky,66.15,-65.71,13.08,Kilabuk Lodge
175,Oakley,US,scattered clouds,38.0,-121.71,55.4,Best Western Plus Delta Inn & Suites
176,Horta,PT,overcast clouds,38.53,-28.63,63.48,Hotel do Canal | Horta - Faial
177,Pisco,PE,scattered clouds,-13.7,-76.22,73.4,Hostal San Isidro Oficial
178,Ilhabela,BR,scattered clouds,-23.78,-45.36,75.67,Ilha Flat Hotel
180,Rawson,AR,clear sky,-43.3,-65.1,54.64,Hotel Punta León
181,Ornskoldsvik,SE,broken clouds,63.29,18.72,32.0,First Hotel Statt
182,Lapeer,US,broken clouds,43.05,-83.32,55.99,Holiday Inn Express Lapeer
183,Sorland,NO,overcast clouds,67.67,12.69,41.25,Sjybrygga fiskecamp
184,Saint-Joseph,RE,broken clouds,-21.37,55.62,77.0,"""Plantation Bed and Breakfast"
185,Bafq,IR,clear sky,31.61,55.41,63.99,Alamdar Hotel
187,Chipurupalle,IN,scattered clouds,18.3,83.57,78.12,BC Hostel
188,Sesimbra,PT,mist,38.44,-9.1,61.0,Sana Sesimbra
189,Saint Anthony,US,overcast clouds,45.02,-93.22,57.2,Holiday Inn Express Roseville-St. Paul
190,Shihezi,CN,overcast clouds,44.3,86.03,55.85,Home Inn Shihezi Dongwu Road Century Square
