City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Ponta Do Sol,PT,2020-04-06 21:25:41,32.67,-17.1,68.0,82,20,3.36
114,Sanski Most,BA,2020-04-06 21:25:41,44.77,16.67,46.4,39,0,3.36
115,Kamenka,RU,2020-04-06 21:25:41,51.32,42.77,28.0,53,4,10.31
116,Malakal,SS,2020-04-06 21:25:41,9.53,31.66,89.1,26,97,2.82
117,Sullana,PE,2020-04-06 21:25:41,-4.9,-80.69,92.41,38,2,9.8
118,Llata,PE,2020-04-06 21:25:41,-9.42,-76.78,59.68,27,66,5.32
119,Kudahuvadhoo,MV,2020-04-06 21:25:41,2.67,72.89,84.24,67,56,4.7
120,Arraial Do Cabo,BR,2020-04-06 21:25:41,-22.97,-42.03,78.8,78,2,11.41
121,Lewisporte,CA,2020-04-06 21:15:44,49.25,-55.05,34.0,69,90,19.46
122,Apatity,RU,2020-04-06 21:25:42,67.56,33.4,21.42,94,96,3.78
123,Bullas,ES,2020-04-06 21:25:42,38.05,-1.67,59.0,77,100,3.56
124,Chongoyape,PE,2020-04-06 21:25:42,-6.64,-79.39,66.2,29,31,20.8
125,Kosmynino,RU,2020-04-06 21:25:42,57.58,40.76,24.8,73,0,6.71
126,Dunmore East,IE,2020-04-06 21:25:42,52.15,-6.99,48.0,82,7,1.01
127,Svetlyy,RU,2020-04-06 21:25:42,54.67,20.13,46.4,45,0,6.71
128,Treinta Y Tres,UY,2020-04-06 21:25:42,-33.23,-54.38,59.88,47,0,12.66
129,Bonavista,CA,2020-04-06 21:25:43,48.65,-53.11,32.0,83,100,10.0
130,Sao Felix Do Xingu,BR,2020-04-06 21:25:23,-6.64,-51.99,80.76,84,93,2.37
131,Castro,BR,2020-04-06 21:25:43,-24.79,-50.01,67.71,71,81,4.68
132,Hithadhoo,MV,2020-04-06 21:25:43,-0.6,73.08,83.68,64,6,3.78
133,Kargasok,RU,2020-04-06 21:25:43,59.06,80.86,35.76,97,99,5.08
134,Marathon,US,2020-04-06 21:25:43,44.9,-89.77,57.2,30,90,11.41
135,Hearst,CA,2020-04-06 21:25:43,49.68,-83.67,37.29,81,93,5.5
136,Sarichioi,RO,2020-04-06 21:25:44,44.95,28.85,41.0,32,0,4.7
137,Sistranda,NO,2020-04-06 21:25:44,63.73,8.83,44.6,87,75,2.24
138,Chicama,PE,2020-04-06 21:25:44,-7.84,-79.15,80.1,57,10,9.44
139,Molodizhne,UA,2020-04-06 21:25:44,48.18,32.66,39.2,23,0,5.06
140,Banda Aceh,ID,2020-04-06 21:25:44,5.56,95.32,78.49,81,86,6.4
141,Tekkali,IN,2020-04-06 21:25:44,18.62,84.23,79.54,77,2,5.93
142,Salalah,OM,2020-04-06 21:25:45,17.02,54.09,80.6,74,0,3.36
143,Grand Gaube,MU,2020-04-06 21:25:45,-20.01,57.66,78.01,83,40,8.05
144,Chalus,IR,2020-04-06 21:23:50,36.66,51.42,53.6,100,90,6.93
145,Dolzhanskaya,RU,2020-04-06 21:25:45,46.63,37.8,46.99,100,15,8.01
146,Ilulissat,GL,2020-04-06 21:25:45,69.22,-51.1,15.8,43,91,11.41
147,Semey,KZ,2020-04-06 21:25:45,50.41,80.23,43.48,77,4,6.2
148,Wilson,US,2020-04-06 21:25:45,36.15,-86.28,82.0,36,1,4.7
149,Pisco,PE,2020-04-06 21:25:45,-13.7,-76.22,75.0,30,0,10.29
150,Pangnirtung,CA,2020-04-06 21:25:46,66.15,-65.71,10.4,66,20,2.24
151,Araouane,ML,2020-04-06 21:21:04,18.9,-3.53,86.67,10,0,9.24
152,Elizabeth City,US,2020-04-06 21:25:46,36.29,-76.25,73.4,60,75,12.75
153,Yar-Sale,RU,2020-04-06 21:25:46,66.83,70.83,19.62,98,93,5.82
154,Koroni,GR,2020-04-06 21:25:46,36.8,21.95,53.01,57,100,5.82
155,Roald,NO,2020-04-06 21:25:46,62.58,6.13,50.0,66,100,11.41
156,Cotonou,BJ,2020-04-06 21:25:46,6.37,2.42,82.4,74,20,9.17
157,Takoradi,GH,2020-04-06 21:16:05,4.88,-1.76,82.49,82,0,6.58
158,Comodoro Rivadavia,AR,2020-04-06 21:22:15,-45.87,-67.5,62.6,36,0,9.17
159,Gao,ML,2020-04-06 21:23:51,16.64,1.64,88.72,9,0,9.69
160,Macon,US,2020-04-06 21:25:47,39.87,-88.97,69.8,63,75,18.34
161,Hamilton,US,2020-04-06 21:22:36,39.18,-84.53,70.0,59,40,5.82
162,Aketi,CD,2020-04-06 21:25:47,2.74,23.78,72.5,83,3,1.07
163,Carnarvon,AU,2020-04-06 21:24:24,-24.87,113.63,69.8,88,0,9.17
164,Husavik,IS,2020-04-06 21:25:47,66.04,-17.34,35.6,51,75,50.55
165,Westport,US,2020-04-06 21:25:05,41.14,-73.36,66.99,36,1,11.41
166,Bhanpura,IN,2020-04-06 21:25:48,24.51,75.75,80.29,17,0,8.79
167,Acajutla,SV,2020-04-06 21:22:55,13.59,-89.83,84.99,78,0,5.01
168,Saldanha,ZA,2020-04-06 21:21:53,-33.01,17.94,53.6,81,25,1.12
169,Bengkulu,ID,2020-04-06 21:25:48,-3.8,102.27,76.86,83,100,6.04
